word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
ame,0.02433313110751438,0.006867693521222864,0.017465437586291516,poetry
mer,0.0173854200090336,0.0018729131789139662,0.015512506830119633,poetry
amour,0.022057465883980915,0.009116455615343574,0.01294101026863734,poetry
soir,0.015685072885946942,0.004482244248409623,0.01120282863753732,poetry
ombre,0.014883227893882744,0.003752610862050557,0.011130617031832187,poetry
nuit,0.015420054482213908,0.004482704119688682,0.010937350362525227,poetry
vent,0.012441813972905034,0.0020334172927109527,0.010408396680194082,poetry
baiser,0.012773938062193147,0.0028678305710053884,0.009906107491187758,poetry
mort,0.012854349074680561,0.0033214995504974787,0.009532849524183082,poetry
reve,0.011752412292406497,0.0026745225211549325,0.009077889771251565,poetry
chant,0.009950396160741157,0.00097671898494188,0.008973677175799277,poetry
cœur,0.01632948435465765,0.0075055603976456695,0.00882392395701198,poetry
vierge,0.009196641909308257,0.0007089291948046165,0.008487712714503642,poetry
encor,0.008448907563671225,7.433500452197413e-05,0.00837457255914925,poetry
lys,0.008406636015407892,0.00021400960820907593,0.008192626407198816,poetry
desir,0.010623240880925096,0.0024955550610725047,0.008127685819852591,poetry
doux,0.01128937010350856,0.003242573239402866,0.008046796864105693,poetry
eau,0.01217228828163184,0.004270584982164776,0.007901703299467063,poetry
chair,0.009998185389903816,0.002348834506276937,0.007649350883626878,poetry
morts,0.008022214860541955,0.0005177648705758098,0.007504449989966145,poetry
fleurs,0.009946842096836188,0.002495193961773836,0.007451648135062352,poetry
lune,0.008281465758726321,0.0010114011973353495,0.007270064561390972,poetry
voix,0.012644850470314,0.005720270147220463,0.006924580323093538,poetry
aime,0.012469711884602878,0.005762701088666857,0.006707010795936021,poetry
souffle,0.008584024326900289,0.0020196669835728033,0.006564357343327486,poetry
myrtis,0.006419160084242322,0.0,0.006419160084242322,poetry
levres,0.011040966238125774,0.0047656887615512,0.006275277476574573,poetry
regard,0.012294580429600136,0.006026949678482155,0.006267630751117981,poetry
roses,0.008379200579684665,0.0022447080890301814,0.006134492490654483,poetry
baisers,0.008330233064647792,0.0022304937893773986,0.006099739275270393,poetry
petit,0.0025311276947497033,0.010368538113934105,-0.007837410419184402,prose
petite,0.0022112798510229474,0.01001169709760002,-0.007800417246577073,prose
deux,0.0056883779818247176,0.013438905251284142,-0.0077505272694594245,prose
main,0.006587100059973603,0.013628189370097347,-0.007041089310123745,prose
faire,0.002271635222671207,0.008859492791514838,-0.006587857568843631,prose
tete,0.002702318551427695,0.009198219657098371,-0.0064959011056706754,prose
dire,0.0009804164374796651,0.006608602125561485,-0.00562818568808182,prose
jeune,0.0035042225210976355,0.008961233973810623,-0.005457011452712988,prose
encore,0.006787189718427714,0.011730846832941339,-0.004943657114513625,prose
homme,0.003196566341994846,0.008074330464930793,-0.004877764122935947,prose
fois,0.0033374331690331667,0.007771097711059038,-0.004433664542025872,prose
presque,0.0010736435502036975,0.0053197994482288916,-0.004246155898025194,prose
stephen,0.0,0.0042230073191871385,-0.0042230073191871385,prose
fille,0.002301014077521119,0.006401585293244983,-0.004100571215723865,prose
temps,0.0022375325483929135,0.006270394996528745,-0.004032862448135832,prose
minne,0.0,0.0037973206146559597,-0.0037973206146559597,prose
alors,0.002904584941069555,0.006546982825623776,-0.0036423978845542206,prose
mme,0.0,0.003542612819168589,-0.003542612819168589,prose
madame,0.0,0.0035417157784314967,-0.0035417157784314967,prose
sentait,6.396373707987841e-05,0.003577124937099157,-0.003513161200019279,prose
chambre,0.0004035561968448675,0.0037842622682202538,-0.0033807060713753863,prose
assez,0.000963066096441747,0.004339491846173643,-0.003376425749731896,prose
mot,0.0009517812023631269,0.004307608896011893,-0.0033558276936487665,prose
oreille,0.0007640657072415701,0.004118474026062649,-0.003354408318821079,prose
semblait,0.0005529977306110219,0.0038304283806862216,-0.0032774306500752,prose
vie,0.004930156079804486,0.008199015135708296,-0.00326885905590381,prose
oui,0.003341815028622284,0.006601612222019113,-0.003259797193396829,prose
nez,0.0008162186164204235,0.004073572218280358,-0.003257353601859935,prose
sorte,0.0,0.003237552210798314,-0.003237552210798314,prose
faisait,0.0005000229018915316,0.0037070670476348094,-0.0032070441457432777,prose
