word,n_poetry,n_prose,freq_poetry,freq_prose,total,share_poetry
eranna,32,0,0.012209080503624571,0.0,32,1.0
gorgo,28,1,0.0106829454406715,0.00033422459893048126,29,0.9655172413793104
c'est,4,21,0.0015261350629530714,0.007018716577540107,25,0.16
l'amour,9,16,0.0034338038916444107,0.0053475935828877,25,0.36
yeux,12,9,0.004578405188859214,0.0030080213903743314,21,0.5714285714285714
femme,9,12,0.0034338038916444107,0.004010695187165776,21,0.42857142857142855
sapho,4,17,0.0015261350629530714,0.005681818181818182,21,0.19047619047619047
melcy,0,20,0.0,0.0066844919786096255,20,0.0
christian,0,19,0.0,0.006350267379679145,19,0.0
qu'elle,4,14,0.0015261350629530714,0.004679144385026738,18,0.2222222222222222
mytilene,12,5,0.004578405188859214,0.0016711229946524064,17,0.7058823529411765
rythme,14,2,0.00534147272033575,0.0006684491978609625,16,0.875
d'une,9,7,0.0034338038916444107,0.002339572192513369,16,0.5625
j'ai,6,10,0.002289202594429607,0.0033422459893048127,16,0.375
fleur,16,0,0.006104540251812286,0.0,16,1.0
beaux,15,1,0.005723006486074018,0.00033422459893048126,16,0.9375
roses,10,5,0.0038153376573826785,0.0016711229946524064,15,0.6666666666666666
scene,11,3,0.004196871423120946,0.001002673796791444,14,0.7857142857142857
sappho,12,2,0.004578405188859214,0.0006684491978609625,14,0.8571428571428571
voix,10,4,0.0038153376573826785,0.001336898395721925,14,0.7142857142857143
nuit,11,3,0.004196871423120946,0.001002673796791444,14,0.7857142857142857
qu'une,10,4,0.0038153376573826785,0.001336898395721925,14,0.7142857142857143
psappha,8,6,0.003052270125906143,0.002005347593582888,14,0.5714285714285714
fait,4,9,0.0015261350629530714,0.0030080213903743314,13,0.3076923076923077
lesbos,12,1,0.004578405188859214,0.00033422459893048126,13,0.9230769230769231
vie,4,9,0.0015261350629530714,0.0030080213903743314,13,0.3076923076923077
qu'il,5,8,0.0019076688286913392,0.00267379679144385,13,0.38461538461538464
mort,9,3,0.0034338038916444107,0.001002673796791444,12,0.75
atthis,8,4,0.003052270125906143,0.001336898395721925,12,0.6666666666666666
chere,11,1,0.004196871423120946,0.00033422459893048126,12,0.9166666666666666
belle,1,11,0.00038153376573826786,0.003676470588235294,12,0.08333333333333333
chœurs,12,0,0.004578405188859214,0.0,12,1.0
encore,1,11,0.00038153376573826786,0.003676470588235294,12,0.08333333333333333
cheveux,7,4,0.002670736360167875,0.001336898395721925,11,0.6363636363636364
soir,7,4,0.002670736360167875,0.001336898395721925,11,0.6363636363636364
nom,7,4,0.002670736360167875,0.001336898395721925,11,0.6363636363636364
deux,1,10,0.00038153376573826786,0.0033422459893048127,11,0.09090909090909091
graces,11,0,0.004196871423120946,0.0,11,1.0
d'un,2,9,0.0007630675314765357,0.0030080213903743314,11,0.18181818181818182
levres,8,2,0.003052270125906143,0.0006684491978609625,10,0.8
beaute,5,5,0.0019076688286913392,0.0016711229946524064,10,0.5
peut-etre,2,8,0.0007630675314765357,0.00267379679144385,10,0.2
lyre,10,0,0.0038153376573826785,0.0,10,1.0
violettes,7,3,0.002670736360167875,0.001002673796791444,10,0.7
erinna,10,0,0.0038153376573826785,0.0,10,1.0
vierge,7,3,0.002670736360167875,0.001002673796791444,10,0.7
alors,1,9,0.00038153376573826786,0.0030080213903743314,10,0.1
chants,7,2,0.002670736360167875,0.0006684491978609625,9,0.7777777777777778
amour,4,5,0.0015261350629530714,0.0016711229946524064,9,0.4444444444444444
front,7,2,0.002670736360167875,0.0006684491978609625,9,0.7777777777777778
ame,8,1,0.003052270125906143,0.00033422459893048126,9,0.8888888888888888
gloire,6,3,0.002289202594429607,0.001002673796791444,9,0.6666666666666666
n'est,4,5,0.0015261350629530714,0.0016711229946524064,9,0.4444444444444444
seule,3,6,0.0011446012972148034,0.002005347593582888,9,0.3333333333333333
sourire,6,3,0.002289202594429607,0.001002673796791444,9,0.6666666666666666
deesse,6,3,0.002289202594429607,0.001002673796791444,9,0.6666666666666666
charme,1,8,0.00038153376573826786,0.00267379679144385,9,0.1111111111111111
douce,6,3,0.002289202594429607,0.001002673796791444,9,0.6666666666666666
nouvelle,2,7,0.0007630675314765357,0.002339572192513369,9,0.2222222222222222
socrate,2,7,0.0007630675314765357,0.002339572192513369,9,0.2222222222222222
