word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
eranna,0.048500777354286914,0.0015474914580986398,0.046953285896188274,poetry
psappha,0.0524785655920774,0.0071607452779904645,0.04531782031408693,poetry
gorgo,0.037199419579795494,0.0003175238535443799,0.03688189572625111,poetry
mer,0.026625890441198344,0.002741953210438597,0.023883937230759746,poetry
eros,0.022347229291462968,0.0,0.022347229291462968,poetry
sappho,0.030398459623022223,0.008306929736086353,0.02209152988693587,poetry
atthis,0.02331401327134196,0.0028118767790698464,0.020502136492272116,poetry
nuit,0.023886961221112654,0.004508123832191712,0.01937883738892094,poetry
ombre,0.024559137684225102,0.005793761075571032,0.018765376608654072,poetry
nossis,0.019172008779016935,0.000492962621044498,0.01867904615797244,poetry
vierge,0.022565545006130568,0.004768076087626548,0.01779746891850402,poetry
roses,0.022493958554538847,0.0049263332602746636,0.017567625294264182,poetry
soir,0.02652836035102014,0.009250926365284594,0.017277433985735547,poetry
vierges,0.018354147998486968,0.0011047230171285585,0.01724942498135841,poetry
chants,0.019424949858871464,0.002331527954200336,0.017093421904671127,poetry
timas,0.016553301758487838,0.0,0.016553301758487838,poetry
aphrodita,0.017611130042256683,0.0014991510182464486,0.016111979024010233,poetry
soleil,0.01981265846768419,0.0038027237860805197,0.01600993468160367,poetry
δε,0.01562331903472275,0.0,0.01562331903472275,poetry
fleurs,0.023122585849806917,0.007677610800439822,0.015444975049367095,poetry
lesbos,0.017215445453074588,0.0018833873583942863,0.015332058094680301,poetry
etrangere,0.01566887730753794,0.000843370012232179,0.014825507295305762,poetry
damophyla,0.01480889590223962,0.0,0.01480889590223962,poetry
violettes,0.015868152349199666,0.0010629220934070776,0.014805230255792588,poetry
chœurs,0.014757474139992044,0.0,0.014757474139992044,poetry
και,0.014531326647049349,0.0,0.014531326647049349,poetry
voix,0.025065162908130264,0.010628755011997379,0.014436407896132885,poetry
doux,0.019603405937038854,0.005173022557785685,0.014430383379253169,poetry
charpentier,0.014171216961036901,0.0,0.014171216961036901,poetry
chante,0.014831180657244012,0.0007993467736323973,0.014031833883611615,poetry
sapho,0.00429977753157279,0.04513584053568399,-0.040836063004111196,prose
christian,0.0,0.031247651558148896,-0.031247651558148896,prose
melcy,0.0,0.027716932214548122,-0.027716932214548122,prose
mirah,0.0,0.018666702569214034,-0.018666702569214034,prose
dompteuse,0.0,0.018304051040931014,-0.018304051040931014,prose
oui,0.0007241684514887779,0.018706771522520628,-0.01798260307103185,prose
fit,0.0019235709136442062,0.019352078361168118,-0.017428507447523913,prose
homme,0.0029801532057410164,0.01986731578359516,-0.016887162577854144,prose
deux,0.00921932323391128,0.025478178419589128,-0.016258855185677847,prose
faire,0.002461537587844693,0.01816404556858481,-0.01570250798074012,prose
faustine,0.0,0.01513126453121126,-0.01513126453121126,prose
encore,0.007127630508540283,0.02207482872387832,-0.014947198215338037,prose
femme,0.010043304893899657,0.024486035448668488,-0.01444273055476883,prose
alors,0.0020680580304051426,0.016374687291135358,-0.014306629260730215,prose
panthere,0.0,0.01385727367818206,-0.01385727367818206,prose
cage,0.0,0.01317210437381241,-0.01317210437381241,prose
jeune,0.008129743432799779,0.02122144152261586,-0.013091698089816082,prose
assez,0.0,0.012787554718658025,-0.012787554718658025,prose
toujours,0.005911345770226544,0.018340836324608166,-0.012429490554381622,prose
martial,0.0,0.011624895653095546,-0.011624895653095546,prose
lorely,0.0,0.011604171579147135,-0.011604171579147135,prose
ludovic,0.0,0.011285641117508802,-0.011285641117508802,prose
jeune homme,0.0005396881216738948,0.0115231408920078,-0.010983452770333905,prose
malaga,0.0,0.010964701977824164,-0.010964701977824164,prose
nature,0.0011574461496782617,0.01210997082621652,-0.010952524676538258,prose
fauves,0.0005668527154263973,0.011380222427143002,-0.010813369711716606,prose
maintenant,0.002016855256416529,0.012764157458498548,-0.010747302202082018,prose
bete,0.0005344694436439656,0.011088420913600247,-0.010553951469956281,prose
fois,0.0028380416758932107,0.01332799069527279,-0.01048994901937958,prose
moment,0.0006858285539898348,0.01080248346458489,-0.010116654910595055,prose
