genre,sentiment_label,n_chunks,share
poetry,1 star,1,0.009259259259259259
poetry,2 stars,1,0.009259259259259259
poetry,3 stars,3,0.027777777777777776
poetry,5 stars,103,0.9537037037037037
prose,1 star,21,0.12352941176470589
prose,2 stars,15,0.08823529411764706
prose,3 stars,9,0.052941176470588235
prose,4 stars,8,0.047058823529411764
prose,5 stars,117,0.6882352941176471
