word,n_poetry,n_prose,freq_poetry,freq_prose,total,share_poetry
d'un,238,1624,0.005090146929871463,0.006370950974276893,1862,0.12781954887218044
c'est,170,1425,0.0036358192356224736,0.00559027409996587,1595,0.10658307210031348
d'une,170,1388,0.0036358192356224736,0.005445123123335177,1558,0.10911424903722722
qu'elle,69,1447,0.0014757148662232393,0.005676580086070606,1516,0.04551451187335093
yeux,246,1245,0.005261244305665462,0.004884134213654392,1491,0.16498993963782696
qu'il,58,1201,0.001240455974506491,0.004711522241444919,1259,0.046068308181096106
deux,68,1002,0.0014543276942489895,0.003930845367133896,1070,0.06355140186915888
encore,80,974,0.0017109737579399876,0.003821001384818777,1054,0.07590132827324478
j'ai,188,831,0.004020788331158971,0.0032600124751379915,1019,0.1844946025515211
femme,109,910,0.0023312017451932333,0.0035699294252413624,1019,0.1069676153091266
main,66,894,0.0014115533503004899,0.003507161435347009,960,0.06875
bras,147,721,0.003143914280214727,0.0028284825446143105,868,0.1693548387096774
fait,111,729,0.002373976089141733,0.002859866539561487,840,0.13214285714285715
mains,146,635,0.0031225271082404773,0.0024911045989321596,781,0.18693982074263765
jeune,39,708,0.000834099706995744,0.002777483552825148,747,0.05220883534136546
bouche,155,590,0.003315011656008726,0.00231456962735429,745,0.2080536912751678
cœur,200,542,0.004277434394849969,0.002126265657671229,742,0.2695417789757412
petite,17,724,0.0003635819235622474,0.0028402515427195015,741,0.022941970310391364
vie,53,662,0.0011335201146352417,0.0025970255818788812,715,0.07412587412587412
petit,30,665,0.0006416151592274953,0.0026087945799840727,695,0.04316546762589928
levres,158,522,0.0033791731719314756,0.002047805670303287,680,0.2323529411764706
corps,152,520,0.0032508501400859762,0.002039959671566493,672,0.2261904761904762
toujours,81,587,0.0017323609299142375,0.002302800629249099,668,0.12125748502994012
trop,72,585,0.0015398763821459888,0.0022949546305123044,657,0.1095890410958904
l'amour,152,499,0.0032508501400859762,0.001957576684830154,651,0.23348694316436253
tete,26,581,0.0005560664713304959,0.0022792626330387163,607,0.042833607907743
amour,150,447,0.0032080757961374766,0.0017535807176735044,597,0.25125628140703515
faire,17,566,0.0003635819235622474,0.0022204176425127597,583,0.029159519725557463
qu'on,86,494,0.0018392967897854866,0.0019379616879881682,580,0.1482758620689655
visage,69,488,0.0014757148662232393,0.0019144236917777856,557,0.12387791741472172
tant,46,504,0.0009838099108154929,0.0019771916816721394,550,0.08363636363636363
n'est,69,456,0.0014757148662232393,0.0017888877119890784,525,0.13142857142857142
ame,191,333,0.004084949847081721,0.0013063587896762349,524,0.36450381679389315
cheveux,100,421,0.0021387171974249844,0.0016515827340951798,521,0.19193857965451055
fois,31,481,0.0006630023312017452,0.0018869626961990058,512,0.060546875
oui,39,460,0.000834099706995744,0.0018045797094626667,499,0.0781563126252505
regard,109,387,0.0023312017451932333,0.0015182007555696784,496,0.21975806451612903
grand,64,430,0.00136877900635199,0.0016868897284107538,494,0.12955465587044535
voix,128,365,0.00273755801270398,0.001431894769464942,493,0.25963488843813387
jour,111,362,0.002373976089141733,0.0014201257713597508,473,0.2346723044397463
baiser,177,296,0.0037855294394422223,0.0011612078130455422,473,0.37420718816067655
qu'un,119,345,0.0025450734649357315,0.0013534347820970002,464,0.25646551724137934
ah,87,375,0.0018606839617597364,0.001471124763148913,462,0.18831168831168832
voir,57,397,0.0012190688025322412,0.0015574307492536494,454,0.12555066079295155
alors,22,424,0.00047051778343349656,0.001663351732200371,446,0.04932735426008968
fille,25,420,0.0005346792993562461,0.0016476597347267828,445,0.056179775280898875
nuit,157,284,0.003357785999957226,0.0011141318206247769,441,0.35600907029478457
homme,18,421,0.0003849690955364972,0.0016515827340951798,439,0.04100227790432802
temps,25,389,0.0005346792993562461,0.0015260467543064726,414,0.06038647342995169
deja,38,374,0.0008127125350214941,0.001467201763780516,412,0.09223300970873786
pourquoi,62,348,0.0013260046624034903,0.0013652037802021914,410,0.15121951219512195
soir,152,250,0.0032508501400859762,0.0009807498420992755,402,0.3781094527363184
aime,32,369,0.000684389503175995,0.0014475867669385305,401,0.0798004987531172
dire,7,393,0.00014971020381974892,0.001541738751780061,400,0.0175
femmes,48,349,0.0010265842547639925,0.0013691267795705884,397,0.12090680100755667
c'etait,22,370,0.00047051778343349656,0.0014515097663069276,392,0.05612244897959184
desir,133,258,0.0028444938725752295,0.0010121338370464522,391,0.340153452685422
mort,128,249,0.00273755801270398,0.0009768268427308782,377,0.3395225464190981
moins,50,321,0.0010693585987124922,0.0012592827972554696,371,0.1347708894878706
peut-etre,32,332,0.000684389503175995,0.0013024357903078378,364,0.08791208791208792
