genre,sentiment_label,n_chunks,share
poetry,1 star,26,0.023090586145648313
poetry,2 stars,9,0.007992895204262877
poetry,3 stars,5,0.004440497335701598
poetry,5 stars,1086,0.9644760213143873
prose,1 star,2441,0.21150680183692921
prose,2 stars,1623,0.1406290616064466
prose,3 stars,480,0.041590850012997144
prose,4 stars,671,0.05814054241400225
prose,5 stars,6326,0.5481327441296248
