work_id,author_id,genre,score_direct_lesbian_love,score_direct_love,score_direct_love_and_desire,score_direct_physical_desire,score_direct_sapphism,score_lesbian_love,score_love,score_love_and_desire,score_physical_desire,score_sapphism
alencon_masque,alencon,poetry,0.008006628960142665,0.008006628960142665,0.035420190984916625,0.02766513435181798,0.0,0.0026966889275859196,0.0019188169840355384,0.005150201873672109,0.0034162328931796725,0.0007778719435503809
brimont_mirages,brimont,poetry,0.004184033006998722,0.004184033006998722,0.02050836299380492,0.017125144492517775,0.0,0.002243072387278448,0.001156265552737968,0.0045576923971823976,0.003471583876829406,0.00108680683454048
brimont_psyche,brimont,poetry,0.005306081360563619,0.005306081360563619,0.027543089890884522,0.02346407147825665,0.0,0.0023610701970289845,0.0012636438172736585,0.004485726870741012,0.003274675682864305,0.001097426379755326
cliffordbarney_actesentractes,cliffordbarney,poetry,0.0103773200569538,0.009526176337230529,0.023043810310058442,0.016173833239286516,0.0008511437197232696,0.0035708503676881637,0.0018628501878059345,0.0039552031476888135,0.002428550409867915,0.0017080001798822292
cliffordbarney_amazone,cliffordbarney,prose,0.009489447788549975,0.008983149524137368,0.018766411546399523,0.011790205118508304,0.0005062982644126057,0.0031529223212318734,0.0023152775088136793,0.004963599129662391,0.0031952046344462096,0.0008376448124181944
cliffordbarney_aventures,cliffordbarney,prose,0.004844782078326534,0.004747373155669219,0.008526082909609578,0.00463332610085966,9.74089226573154e-05,0.0022613667928162782,0.0012688403514562836,0.003265950548208722,0.0025717775712599898,0.0009925264413599946
cliffordbarney_framboises,cliffordbarney,prose,0.008201154741463214,0.008201154741463214,0.015770324330384045,0.008892671196029924,0.0,0.0008962538706677174,0.00038598086922063683,0.0030697545432945023,0.0026837736740738657,0.0005102730014470805
cliffordbarney_souvenirs,cliffordbarney,prose,0.005254903918745054,0.00468875988960913,0.01003622096026423,0.006130532567794501,0.0005661440291359239,0.0021881255533064163,0.0015152690929558206,0.0026923307823846863,0.0015767310114113108,0.0006728564603505957
colette_apprentissages,colette,prose,0.0034575110123741507,0.0034575110123741507,0.009071458628469446,0.006396634661644965,0.0,0.0011392258814351727,0.000449344567439977,0.0015027279130526757,0.0011331927565031569,0.0006898813139951956
colette_aventures,colette,prose,0.003235992387306791,0.003235992387306791,0.009798563770919129,0.007253937486903523,0.0,0.0003741702221857278,0.00015387067767073974,0.0012396589785916357,0.001123709874510166,0.00022029954451498798
colette_bellavista,colette,prose,0.0024518724004074944,0.0024518724004074944,0.009641112734352907,0.0074605489290810595,0.0,0.0005679211925215241,0.00038179895126049196,0.0017700971148264923,0.0015210379752901252,0.0001861222412610321
colette_bleherbe,colette,prose,0.0036772367502423717,0.0036772367502423717,0.012818846882634648,0.009673298744190914,0.0,0.0008100707123216973,0.00046746280999573485,0.001983117981139633,0.001728170468852653,0.0003426079023259624
colette_chambre,colette,prose,0.0024531559974193635,0.0024531559974193635,0.008218396752059256,0.006075236066969532,0.0,0.0007082741098068652,0.0005251029041521349,0.0014815510760430172,0.001092223225937387,0.00018317120565473026
colette_chatte,colette,prose,0.002101480073485382,0.002101480073485382,0.011479904810923808,0.009438190455822362,0.0,0.0006727353581859095,0.000536852548680669,0.0019224899198466434,0.0015460943043660465,0.0001358828095052405
colette_cheri,colette,prose,0.0035756336193976212,0.0035756336193976212,0.012676247095634028,0.009957501031301032,0.0,0.001133363838507971,0.001002590356093162,0.0028895424311617844,0.0022342251234477696,0.00013077348241480894
colette_claudineecole,colette,prose,0.003802986604113143,0.003802986604113143,0.009202536247984054,0.005501421323412808,0.0,0.0008977790431651518,0.0007201539175912478,0.0014820531011264897,0.0008903269663528956,0.00017762512557390397
colette_claudinemenage,colette,prose,0.0045820974564998555,0.0045820974564998555,0.015237190353243757,0.011197231955803343,0.0,0.0013544925563420687,0.001158615738087157,0.0024956324622302417,0.001627793619794318,0.0001958768182549117
colette_claudineparis,colette,prose,0.0027546069014027594,0.0027546069014027594,0.01019304792004213,0.007600965146700275,0.0,0.0012602084592715636,0.0010671035673455044,0.0017159512720940253,0.0009341300674025696,0.00019310489192605934
colette_claudineva,colette,prose,0.003256114110919559,0.0032157394339169753,0.010514584177955344,0.007911401543030643,4.037467700258398e-05,0.0018710577515336456,0.0016316595158376581,0.002765962525200281,0.0014236519148089948,0.00023939823569598732
colette_duo,colette,prose,0.002162486336730409,0.002162486336730409,0.008452056583262743,0.006420329028317508,0.0,0.000620228822524351,0.00044527264696207265,0.0010682488922636355,0.0007166539364819204,0.0001749561755622784
colette_egarementsminne,colette,prose,0.00433451443020009,0.00433451443020009,0.014184536205761527,0.011076181476986259,0.0,0.0008359859977572866,0.0007555266761192494,0.0021350001902863984,0.0015533980253870188,8.04593216380373e-05
colette_entrave,colette,prose,0.004522916203775584,0.004522916203775584,0.012174900286171951,0.008981101999298151,0.0,0.0018490087916497031,0.001356911077714829,0.0028841577758137293,0.001848530892120897,0.000492097713934874
colette_enversmusic,colette,prose,0.002186410056290613,0.002186410056290613,0.007407090251632613,0.005513711608002846,0.0,0.0005461689062446656,0.0003837070929273268,0.00121285262372653,0.0010405059155353176,0.0001624618133173388
colette_etoilevesper,colette,prose,0.002895995857399241,0.002895995857399241,0.007563636553686048,0.005027957811564412,0.0,0.0009525286577898981,0.00031503655174977226,0.0010767950949958087,0.0008658446340901318,0.0006374921060401259
colette_fanal,colette,prose,0.0028407892468287348,0.0028407892468287348,0.00848234807841657,0.0058268152270713755,0.0,0.0012727132757883275,0.000882616343197126,0.0014017106964929588,0.0006385672726431814,0.00039009693259120157
colette_femmecachee,colette,prose,0.0024475302036763777,0.0024475302036763777,0.009566597835607055,0.00748045081650023,0.0,0.00045972988909805606,0.00023547214791484175,0.0018409306684065616,0.0016638849304506066,0.00022425774118321425
colette_fincheri,colette,prose,0.0024169067409514425,0.0024169067409514425,0.010626371786863254,0.008635955623047172,0.0,0.0010263658692210864,0.0008447526796612787,0.002517257778199791,0.0019065324619830437,0.0001816131895598076
colette_fleurage,colette,prose,0.0023281637687567083,0.0023281637687567083,0.009115469984648782,0.007341282530658041,0.0,0.00030860093842385004,0.00030860093842385004,0.001847991546199605,0.0017142694327763194,0.0
colette_foule,colette,prose,0.0015605013653456068,0.0015605013653456068,0.006660699885385838,0.005884047473621623,0.0,0.0005852822131958412,0.0005852822131958412,0.0012377058838069315,0.0010238083772677062,0.0
colette_gigi,colette,prose,0.0019124287141315617,0.0019124287141315617,0.006377365325769839,0.004546258970350423,0.0,0.0006244502110655134,0.0005077796464724702,0.0016181414796665773,0.0014626503169045202,0.00011667056459304326
colette_herbier,colette,prose,0.003770525493192643,0.003770525493192643,0.00778128008251486,0.0050968662871953415,0.0,0.0006433230207684506,0.00042576287092634444,0.0012121673593446962,0.0009202608870046961,0.00021756014984210614
colette_heures,colette,prose,0.00163504972997589,0.00163504972997589,0.006337672987450722,0.004853674880882027,0.0,0.00048584327652908713,0.0003674449600621582,0.0009865446219832134,0.0007735989246327743,0.00011839831646692892
colette_hotel,colette,prose,0.0021933615158490484,0.0021933615158490484,0.006907479580194275,0.004965312191685088,0.0,0.0005834196815291076,0.0004768012550828745,0.001169081548928176,0.0009069770155875943,0.00010661842644623315
