genre,sentiment_label,n_chunks,share
poetry,1 star,19,0.020833333333333332
poetry,2 stars,7,0.007675438596491228
poetry,3 stars,5,0.005482456140350877
poetry,5 stars,881,0.9660087719298246
prose,1 star,1265,0.18945634266886327
prose,2 stars,900,0.1347910738355549
prose,3 stars,294,0.044031750786281264
prose,4 stars,429,0.0642504118616145
prose,5 stars,3789,0.5674704208476861
