topic,rank,word,word_lemma,word_pos,weight
20,6,artiste,artiste,NOUN,0.005822294512197554
20,7,tableaux,tableau,NOUN,0.004844758723976425
20,8,whitman,whitman,PROPN,0.004839676129678601
20,9,dessin,dessin,NOUN,0.004274200923802615
20,10,peindre,peindre,VERB,0.004249847268179748
20,11,wayne,wayne,PROPN,0.00424281494039272
20,12,delstir,delstir,ADJ,0.0040810822869500624
20,13,mme,mme,NOUN,0.0040660848571339265
20,14,francois,francois,PROPN,0.004011292861727022
20,15,swann,swann,NOUN,0.003953662885988253
20,16,parrhasios,parrhasio,NOUN,0.003902061485135864
20,17,cetait,cetait,AUX,0.0038286079982327824
20,18,bazalgette,bazalgette,NOUN,0.0037204075785672902
20,19,sil,sil,PRON,0.0033716812129043422
20,20,bryaxis,bryaxi,ADJ,0.0033641501751477585
20,21,peintres,peintre,NOUN,0.0033613714578490674
20,22,cottard,cottard,PROPN,0.003165634663867863
20,23,verdurin,verdurin,PROPN,0.003160514043850539
20,24,peint,peindre,VERB,0.002992461989782499
20,25,belle,bel,ADJ,0.0029862151514000487
20,26,pinceau,pinceau,NOUN,0.002931670601353941
20,27,uvres,uvre,NOUN,0.002910858228556084
20,28,lartiste,lartiste,NOUN,0.0028655588464047707
20,29,commence,commencer,VERB,0.0028585579064886986
20,30,hester,hester,VERB,0.0028501091906885712
20,31,mme verdurin,mme,NOUN,0.002823498511950186
20,32,assez,assez,ADV,0.002716987489599182
20,33,mrs wayne,mr,NOUN,0.002691699330032276
20,34,jeune,jeune,ADJ,0.0026848650797447215
20,35,dessins,dessin,NOUN,0.0026461929717646114
20,36,voila,voila,VERB,0.0026385973943006402
20,37,seulement,seulement,ADV,0.0026144635734981327
20,38,admiration,admiration,NOUN,0.0026095023728840696
20,39,lair,lair,NOUN,0.00259939726109474
20,40,presque,presque,ADV,0.0025932003331819407
20,41,reste,reste,VERB,0.002591287115617102
20,42,mme cottard,mme,NOUN,0.0025597971213021944
20,43,genie,genie,NOUN,0.0025549642577210986
20,44,artemidora,artemidora,NOUN,0.0025517711832920733
20,45,homme,homme,NOUN,0.0025400555440358522
20,46,deja,deja,ADV,0.0025288601828258785
20,47,belle fille,bel,ADJ,0.0024759523158288618
20,48,artistes,artiste,NOUN,0.002467030141883593
20,49,manet,manet,PROPN,0.0023927961112704143
20,50,peintures,peinture,NOUN,0.002392762265488429
20,51,francs,franc,NOUN,0.002366954036059536
20,52,font,faire,VERB,0.002364300335082062
20,53,afin,afin,ADV,0.0023604313103307915
20,54,procede,procede,NOUN,0.002347207725279109
20,55,laisser,laisser,VERB,0.002339364896264128
20,56,clesides,cleside,ADJ,0.00232135577398049
