topic,rank,word,word_lemma,word_pos,weight
1,4,viviane,vivian,ADJ,0.0031643083310919987
1,5,lavait,laver,VERB,0.0030763613492630977
1,6,cur,cur,NOUN,0.0029508075079750125
1,7,navait,navait,AUX,0.002931025788346571
1,8,xavier,xavier,PROPN,0.0028329464938722966
1,9,mari,mari,NOUN,0.0026197806836635047
1,10,setait,seter,VERB,0.002606042167741933
1,11,maintenant,maintenant,ADV,0.0026040511565258422
1,12,therese,therese,NOUN,0.002591971402450572
1,13,amour,amour,NOUN,0.0025695035368625803
1,14,dire,dire,VERB,0.002541202720975303
1,15,connaissait,connaitre,VERB,0.0024896637477407483
1,16,lucienne,lucienne,ADV,0.00246981739261569
1,17,choses,chose,NOUN,0.002377933630952711
1,18,lamour,lamour,NOUN,0.0023170479330892964
1,19,madame,monsieur,NOUN,0.0022817861916385766
1,20,pourquoi,pourquoi,ADV,0.002186258642917526
1,21,seule,seul,ADJ,0.0021813443146158963
1,22,ellememe,ellememe,PRON,0.002154317376684327
1,23,soir,soir,NOUN,0.0021531530180633673
1,24,petite,petit,ADJ,0.0021426913502005586
1,25,passion,passion,NOUN,0.0021333094129313587
1,26,fin,fin,NOUN,0.002133221425393769
1,27,sentait,sentir,VERB,0.0021330618835081775
1,28,pensee,pensee,NOUN,0.002131266796050236
1,29,fille,fille,NOUN,0.002073579876508739
1,30,monde,monde,NOUN,0.0020420797110275897
1,31,homme,homme,NOUN,0.0020140162729104074
1,32,sentit,sentir,VERB,0.0020079288496757564
1,33,rendait,rendre,VERB,0.0020025694741477645
1,34,laveu,laveu,PROPN,0.0019934541075711117
1,35,regard,regard,NOUN,0.001987209831945949
1,36,lame,lame,NOUN,0.001982941721270605
1,37,nouvel,nouveau,ADJ,0.001971244397337582
1,38,bonheur,bonheur,NOUN,0.0019479806505643227
1,39,moins,moins,ADV,0.0019242612810168916
1,40,semblait,sembler,VERB,0.0019192307956011339
1,41,souvent,souvent,ADV,0.0018968225196540178
1,42,annette,annette,NOUN,0.0018915046308563073
1,43,souvenir,souvenir,NOUN,0.0018720712508781745
1,44,mois,mois,NOUN,0.0018643934621552542
1,45,pensait,penser,VERB,0.0018613764567461078
1,46,tendresse,tendresse,NOUN,0.0018539709869326182
1,47,beau,beau,ADJ,0.0018184724303708215
1,48,fit,faire,VERB,0.0018074707830219002
1,49,demeurait,demeurer,VERB,0.0017938985683401928
1,50,vit,voir,VERB,0.0017862852212098953
1,51,lenfant,lenfant,NOUN,0.0017829250008363567
1,52,petit,petit,ADJ,0.0017807274561291917
1,53,pitie,pitie,NOUN,0.0017767896508752799
1,54,disait,dire,VERB,0.0017674893472039795
1,55,lautre,lautr,ADJ,0.0017661145238499637
1,56,maison,maison,NOUN,0.0017582326034342047
1,57,pauvre,pauvre,NOUN,0.0017393480783132285
1,58,eprouvait,eprouver,VERB,0.0017339100196674298
1,59,secrete,secret,ADJ,0.0017289206158058233
1,60,visage,visage,NOUN,0.00171770146971443
1,61,deja,deja,ADV,0.0017121473799203946
1,62,nicolas,nicolas,PROPN,0.0017097759127381552
1,63,oh,oh,PRON,0.0017047232462356788
1,64,samuel,samuel,PROPN,0.0016905904379996126
1,65,pourtant,pourtant,ADV,0.0016841079795552904
1,66,force,force,NOUN,0.0016792564856620445
1,67,marceline,marceline,NOUN,0.0016762378336356468
1,68,guemene,guemene,ADJ,0.0016678495250216912
1,69,wartz,wartz,NOUN,0.001666001678632324
1,70,malgre,malgre,ADP,0.0016467468925494355
1,71,femmes,femme,NOUN,0.0016417709296933885
1,72,porte,porte,NOUN,0.001639228859059534
1,73,desir,desir,NOUN,0.001638082291484413
1,74,jeune fille,jeune,ADJ,0.0016288156901792376
1,75,eue,avoir,VERB,0.0016274371016614985
1,76,croyait,croire,VERB,0.0016257569750882414
1,77,demanda,demander,VERB,0.0016254146182716719
1,78,noel,noel,PROPN,0.0016190161878528217
1,79,mots,mot,NOUN,0.001616510893247302
1,80,levres,levre,NOUN,0.0016074332508110116
1,81,faisait,faire,VERB,0.0016015413190999122
1,82,oui,oui,ADV,0.0015995428730755878
1,83,coup,coup,NOUN,0.0015935996022061717
1,84,luimeme,luimeme,PROPN,0.0015918254795251898
1,85,grande,grand,ADJ,0.001591821004909887
1,86,nouvelle,nouveau,ADJ,0.0015850866197683142
1,87,jeune femme,jeune,ADJ,0.001573037468534426
1,88,comment,comment,ADV,0.001571763215290966
1,89,cependant,cependant,ADV,0.0015695034381044976
