work_id,author_id,genre,score_direct_lesbian_love,score_direct_love,score_direct_love_and_desire,score_direct_physical_desire,score_direct_sapphism,score_lesbian_love,score_love,score_love_and_desire,score_physical_desire,score_sapphism
alencon_masque,alencon,poetry,0.008006628960142665,0.008006628960142665,0.035420190984916625,0.02766513435181798,0.0,0.0011489960724811205,0.0006147057154597551,0.0032467707498437404,0.002632065034383985,0.0005342903570213654
brimont_mirages,brimont,poetry,0.004184033006998722,0.004184033006998722,0.02050836299380492,0.017125144492517775,0.0,0.0013823235845260326,0.00034712379415270206,0.0032935496603244308,0.0030165828985567046,0.0010351997903733307
brimont_psyche,brimont,poetry,0.005306081360563619,0.005306081360563619,0.027543089890884522,0.02346407147825665,0.0,0.0011720772254467217,0.00044806272567554585,0.0028794989658322482,0.002431436240156702,0.0007240144997711759
cliffordbarney_actesentractes,cliffordbarney,poetry,0.0103773200569538,0.009526176337230529,0.023043810310058442,0.016173833239286516,0.0008511437197232696,0.0021316260545023577,0.0008676741304752961,0.002316662221266936,0.0016607920189453415,0.0012639519240270616
cliffordbarney_amazone,cliffordbarney,prose,0.009489447788549975,0.008983149524137368,0.018766411546399523,0.011790205118508304,0.0005062982644126057,0.0019562913811797342,0.0013541508231048537,0.002678768770074441,0.001790437133301107,0.0006021405580748802
cliffordbarney_aventures,cliffordbarney,prose,0.004844782078326534,0.004747373155669219,0.008526082909609578,0.00463332610085966,9.74089226573154e-05,0.0015530782603322254,0.000733845278518269,0.001510708014433658,0.0012718542468267756,0.0008192329818139562
cliffordbarney_framboises,cliffordbarney,prose,0.008201154741463214,0.008201154741463214,0.015770324330384045,0.008892671196029924,0.0,0.0005102730014470805,0.0,0.0020372380970592662,0.0020372380970592662,0.0005102730014470805
cliffordbarney_souvenirs,cliffordbarney,prose,0.005254903918745054,0.00468875988960913,0.01003622096026423,0.006130532567794501,0.0005661440291359239,0.0013790688688665388,0.0008866433815171809,0.0014874577950979905,0.0009134554074610053,0.000492425487349358
colette_apprentissages,colette,prose,0.0034575110123741507,0.0034575110123741507,0.009071458628469446,0.006396634661644965,0.0,0.0006915156141829142,0.00018132919423527891,0.000891898809449722,0.0007679708235294233,0.0005101864199476353
colette_aventures,colette,prose,0.003235992387306791,0.003235992387306791,0.009798563770919129,0.007253937486903523,0.0,0.00033624864859645783,0.00011594910408146985,0.0009637224543408669,0.000847773350259397,0.00022029954451498798
