work_id,author_id,genre,score_direct_lesbian_love,score_direct_love,score_direct_love_and_desire,score_direct_physical_desire,score_direct_sapphism,score_lesbian_love,score_love,score_love_and_desire,score_physical_desire,score_sapphism
aicard_illustremaurin,aicard,prose,0.001651877278251207,0.001651877278251207,0.004987169140699741,0.00343499438368945,0.0,0.0002704961688903897,0.0002704961688903897,0.0011003637420720965,0.0008675586856241819,0.0
aicard_jeannedarc,aicard,poetry,0.0035820608854316718,0.0035820608854316718,0.0071030567977319325,0.00352099591230026,0.0,0.0011209325848209179,0.0011209325848209179,0.0011209325848209179,0.0,0.0
aicard_jeunescroyances,aicard,poetry,0.008913956755653048,0.008913956755653048,0.016192096105351803,0.008007614333332889,0.0,0.0008131057783034201,0.0008131057783034201,0.0038476832427835135,0.003152727670987733,0.0
aicard_marinmaures,aicard,prose,0.0023866205751855406,0.0023866205751855406,0.006006684755167775,0.0037121016792692964,0.0,0.00032408708891297684,0.00032408708891297684,0.001393027562041803,0.001113056218439101,0.0
aicard_pierrepuget,aicard,poetry,0.003657223022533398,0.003657223022533398,0.0160320099702368,0.012374786947703402,0.0,0.0,0.0,0.00282020684264706,0.00282020684264706,0.0
bataille_beauvoyage,bataille,poetry,0.004412050216692687,0.004412050216692687,0.011015274134232684,0.006726210020110407,0.0,0.0005335778002049196,0.0005335778002049196,0.0033302297657605336,0.002796651965555614,0.0
bazin_barriere,bazin,prose,0.0029404949615429495,0.0029404949615429495,0.008084653992647971,0.0052992081406714195,0.0,0.00038088846919620756,0.00038088846919620756,0.0008228838492023268,0.0004612784518974978,0.0
bazin_defoucauld,bazin,prose,0.00145464681161954,0.00145464681161954,0.004011938874293503,0.0027422619004020122,0.0,0.00032387357212574204,0.00032387357212574204,0.0005614311530820529,0.00030183847594899557,0.0
bazin_espagne,bazin,prose,0.0013453879240784312,0.0013453879240784312,0.004420418707410141,0.0032471707004388378,0.0,0.00042105279886939706,0.00042105279886939706,0.0007248209486085146,0.00032233618967670723,0.0
bazin_italiens,bazin,prose,0.0018419922848443191,0.0018419922848443191,0.00411018222557302,0.0026652438088714666,0.0,0.00013780301783697325,0.00013780301783697325,0.0004630740943833142,0.00034884953995915327,0.0
bazin_terremeurt,bazin,prose,0.0021630938267321073,0.0021630938267321073,0.007254130744083826,0.005262330033809596,0.0,0.00010416036510569824,0.00010416036510569824,0.000863832827121567,0.0007596724620158687,0.0
bourges_crepusculedieux,bourges,prose,0.003154099310817609,0.003154099310817609,0.009010499720646395,0.0068156247489683484,0.0,0.0004911003591459972,0.0004911003591459972,0.0011913084854843477,0.0007707861808179148,0.0
bourges_hache,bourges,prose,0.0021826117427183357,0.0021826117427183357,0.008591203402331644,0.007506549937168485,0.0,0.00016277814666179808,0.00016277814666179808,0.00150545777852965,0.001342679631867852,0.0
bourges_oiseauxfleurs,bourges,prose,0.0014357698767656216,0.0014357698767656216,0.006764051162663724,0.005540792203485037,0.0,0.00031188927016592276,0.00031188927016592276,0.0010659570272682274,0.000798029843290751,0.0
chavette_oreillecocher,chavette,prose,0.0011801517791710776,0.0011801517791710776,0.004273886834588362,0.0032902102859919497,0.0,0.00022006948888543743,0.00022006948888543743,0.0006609054139250488,0.00047208226064493757,0.0
chavette_seulbellesmeres,chavette,prose,0.0014714955452695623,0.0014714955452695623,0.005698951591965012,0.004496536538474981,0.0,0.00020731327216245215,0.00020731327216245215,0.0007331817780666958,0.0005780402757906928,0.0
chavette_tombeurcranes,chavette,prose,0.0024605177690711993,0.0024605177690711993,0.006203981511662518,0.004677318226477956,0.0,0.00021191380913739501,0.00021191380913739501,0.0008981174524778548,0.0006970960884763131,0.0
claretie_bouddha,claretie,prose,0.002759218038378468,0.002759218038378468,0.011251608569729163,0.008689163455396347,0.0,0.0007247368943365639,0.0007247368943365639,0.0010462237693272787,0.0003940909044561245,0.0
claretie_catissou,claretie,prose,0.0008692362873281293,0.0008692362873281293,0.005990599573840501,0.005121363286512372,0.0,0.0001418711401501519,0.0001418711401501519,0.0013125694072921512,0.0011706982671419992,0.0
claretie_frontiere,claretie,prose,0.0029970833972751956,0.0029970833972751956,0.00843496581042345,0.00592852015577114,0.0,7.496797278708525e-05,7.496797278708525e-05,0.0012881089064934736,0.0012881089064934736,0.0
claretie_monsieurministre,claretie,prose,0.004421404694190352,0.004421404694190352,0.01111000404640565,0.007660189708044964,0.0,0.0002410364568520975,0.0002410364568520975,0.0014068308653868826,0.0012098131207841434,0.0
claudel_autrespoemesguerre,claudel,poetry,0.0034727979680314837,0.0034727979680314837,0.013725366393536997,0.010810120635316103,0.0,0.00012683098112694347,0.00012683098112694347,0.0025462131708530104,0.002419382189726067,0.0
claudel_cinqodes,claudel,poetry,0.002178939525291944,0.002178939525291944,0.0094561430298693,0.007991654102335608,0.0,0.00041120396383835224,0.00041120396383835224,0.0022235397016450195,0.001812335737806667,0.0
claudel_corona,claudel,poetry,0.003176014508928767,0.003176014508928767,0.01023653811048961,0.007381777295904786,0.0,0.00035890045501900435,0.00035890045501900435,0.003938818524123968,0.0035799180691049644,0.0
claudel_poemesguerre,claudel,poetry,0.0032560567206583743,0.0032560567206583743,0.011381790592338573,0.008666430433705722,0.0,0.00017481594303721574,0.00017481594303721574,0.00131994966067271,0.0011451337176354944,0.0
coppee_ecritsiege,coppee,poetry,0.002512047558354317,0.002512047558354317,0.009505597606313173,0.007510078973578691,0.0,0.0,0.0,0.0,0.0,0.0
coppee_olivier,coppee,poetry,0.004623126911361824,0.004623126911361824,0.015730681868519263,0.011601070940625928,0.0,0.0015485756565698102,0.0015485756565698102,0.0030225625415153897,0.001714223230638509,0.0
coppee_poesies,coppee,poetry,0.0036012191614906482,0.0036012191614906482,0.012568819884441387,0.009362624670218053,0.0,0.00035862078498871946,0.00035862078498871946,0.002049678227965196,0.0017232301742953664,0.0
deheredia_trophees,deheredia,poetry,0.0019397461490289376,0.0019397461490289376,0.01082143171051626,0.009473888641595617,0.0,0.00018795483505214304,0.00018795483505214304,0.002407413766246264,0.002219458931194121,0.0
deregnier_altana,deregnier,prose,0.0019425762233393087,0.0019425762233393087,0.006343080981263086,0.004644392655357458,0.0,0.0004407026338720654,0.0004407026338720654,0.0014006492684083458,0.0010185582078546273,0.0
deregnier_arethuse,deregnier,poetry,0.00304717667022377,0.00304717667022377,0.01978641578682984,0.016896843529529634,0.0,0.0,0.0,0.003378571420758529,0.003378571420758529,0.0
deregnier_bonheursperdus,deregnier,prose,0.006169438346648898,0.006169438346648898,0.011817980601246848,0.006789606335754289,0.0,0.0008543516308758606,0.0008543516308758606,0.0020780246280841185,0.001331560465092577,0.0
deregnier_divertissementprovincial,deregnier,prose,0.0018015773559519645,0.0018015773559519645,0.0076361413013397135,0.006185129738231243,0.0,0.00044336351075350205,0.00044336351075350205,0.0010384618306258022,0.0006581504063766571,0.0
deregnier_illusionheroique,deregnier,prose,0.001761106271945617,0.001761106271945617,0.006444372824443948,0.005026999144488627,0.0,0.0004334323905737493,0.0004334323905737493,0.0009561957478932398,0.0005447443937631467,0.0
deregnier_imagesvenitiennes,deregnier,prose,0.0025078181199157342,0.0025078181199157342,0.007433890439524047,0.005025278668814662,0.0,0.0006624370911614159,0.0006624370911614159,0.001418175091254065,0.0007956702162986246,0.0
deregnier_passevivant,deregnier,prose,0.003319865981257818,0.003319865981257818,0.010582782122518876,0.007946104390175554,0.0,0.0003062026425626346,0.0003062026425626346,0.0008054491428332635,0.0005481566615250602,0.0
deregnier_poemesanciens,deregnier,poetry,0.0035351868089821513,0.0035351868089821513,0.016476368174706633,0.014166288833914088,0.0,0.00018425911846993174,0.00018425911846993174,0.003469028332942273,0.0032847692144723417,0.0
deregnier_romainemirmault,deregnier,prose,0.005969075451716249,0.005969075451716249,0.012612350558182323,0.007618172210973389,0.0,0.0017758662151205406,0.0017758662151205406,0.00236367389307532,0.0007589124585297745,0.0
deregnier_vacances,deregnier,prose,0.0013316496133136677,0.0013316496133136677,0.005828435794397143,0.004537268733103556,0.0,0.00011961670027545573,0.00011961670027545573,0.00046923469512005403,0.0004258110591889104,0.0
dereigner_luifemmes,dereigner,prose,0.006622728610177019,0.006622728610177019,0.012939366190301975,0.00746970328661319,0.0,0.0024766441268326243,0.0024766441268326243,0.003393104310219526,0.0011008791861402173,0.0
france_anneauamethyste,france,prose,0.0029279816880219047,0.0029279816880219047,0.008986713624540095,0.006393134455750481,0.0,0.00022351542791592937,0.00022351542791592937,0.000511213799189175,0.00034145049982554546,0.0
france_autelspeur,france,prose,0.0036910884743586365,0.0036910884743586365,0.010177721794392603,0.006603825397849507,0.0,0.00023048362665274662,0.00023048362665274662,0.0013253966838898809,0.0011800062178847592,0.0
france_balthasar,france,prose,0.0044726933126625875,0.0044726933126625875,0.011616181030025884,0.007340882459547956,0.0,0.0008415858001501879,0.0008415858001501879,0.0012623887699969299,0.0005134624782850468,0.0
france_bergeretparis,france,prose,0.002192514605899524,0.002159970997464221,0.00625665821505273,0.004200126427749417,3.254360843530331e-05,0.0002458583502943547,0.0002458583502943547,0.0007280195639987865,0.0005201816309638685,0.0
france_chatmaigre,france,prose,0.0020527038713921506,0.0020527038713921506,0.009432873454067747,0.007621406705739929,0.0,0.00014292030906680282,0.00014292030906680282,0.0006153561195432851,0.0004970608144458778,0.0
france_contestournebroche,france,prose,0.0040209094270847135,0.0040209094270847135,0.010530575743684883,0.007124054875006914,0.0,0.00041656047454333156,0.00041656047454333156,0.0014176132063801008,0.001028662584772152,0.0
france_crainquebille,france,prose,0.0005162622612287042,0.0005162622612287042,0.003692654318376271,0.003176392057147567,0.0,0.0,0.0,0.00015266300356820897,0.00015266300356820897,0.0
france_crimesylvestre,france,prose,0.002808333927566395,0.002808333927566395,0.0077155004805595185,0.005283665712675507,0.0,0.00042371897372533133,0.00042371897372533133,0.001139586734296034,0.0008119293634861839,0.0
france_desirsjean,france,prose,0.004835189336686177,0.004835189336686177,0.012687690020601338,0.008538210932376403,0.0,0.0010636525351935848,0.0010636525351935848,0.002563012341493881,0.0015371678723827406,0.0
