work_id,author_id,genre,score_direct_lesbian_love,score_direct_love,score_direct_love_and_desire,score_direct_physical_desire,score_direct_sapphism,score_lesbian_love,score_love,score_love_and_desire,score_physical_desire,score_sapphism
cocteau_dansesophocle,cocteau,poetry,0.004127710595504811,0.004127710595504811,0.01660340212666311,0.013614159568107591,0.0,0.0008972060315622295,0.0007846306423674453,0.006656883848800479,0.006550398154648642,0.00011257538919478426
cocteau_grandecart,cocteau,prose,0.004910364575840616,0.004910364575840616,0.011177666849572169,0.007050017954143303,0.0,0.000500918027346018,0.000500918027346018,0.00247831914049318,0.0021839938788374034,0.0
cocteau_livreblanc,cocteau,prose,0.006590101702941906,0.006392042681353473,0.015265583097674644,0.009636560103880372,0.00019805902158843335,0.0009083239184109863,0.0008128054063669269,0.0059293100273979564,0.005487897155830669,9.551851204405938e-05
cocteau_plainchant,cocteau,poetry,0.00937318077190127,0.00937318077190127,0.018944280944814804,0.01068924254742263,0.0,0.0010128825580839587,0.0007263270219517806,0.010907787231383352,0.0106407467088993,0.0002865555361321781
cocteau_poemes,cocteau,poetry,0.0034434303454240903,0.0033877355528871924,0.008887476696178655,0.0058236169295789,5.5694792536897796e-05,0.0010150309989204792,0.0006610120580595587,0.006619855733617422,0.006181431348780012,0.0003540189408609206
cocteau_secret,cocteau,prose,0.001657444948461107,0.001657444948461107,0.004361694744282708,0.002704249795821601,0.0,0.0007380608785513564,0.0007380608785513564,0.0010498312123943746,0.00031177033384301834,0.0
cocteau_thomas,cocteau,prose,0.003853100489875801,0.003853100489875801,0.008154846889788271,0.004467490663719689,0.0,0.0003130172636864946,0.0003130172636864946,0.0029647978764719097,0.002651780612785415,0.0
cocteau_vocabulaire,cocteau,poetry,0.007378578572935215,0.006941478359715599,0.014787663586718413,0.00871769501112859,0.00043710021321961617,0.0015160424397903766,0.00110447221318386,0.006790409155293308,0.006013764826516059,0.00041157022660651653
dadelswardfersen_adonis,dadelswardfersen,poetry,0.010506901981799776,0.010506901981799776,0.045904418076121445,0.03705301783601352,0.0,0.002484103116800517,0.002394042805444689,0.016811420357297015,0.014850522454624437,9.006031135582741e-05
dadelswardfersen_amourenseveli,dadelswardfersen,poetry,0.011447720798777473,0.01136743820404401,0.029999110081371152,0.020680384413314636,8.028259473346178e-05,0.0029271318381105505,0.00259753986272472,0.015504613697383136,0.01339629557056071,0.0003295919753858304
dadelswardfersen_corteges,dadelswardfersen,poetry,0.011134690680053969,0.011134690680053969,0.040729255821288016,0.03139004007235072,0.0,0.0034269639570738727,0.003373538348642449,0.0187562014526325,0.01582732111532607,5.342560843142304e-05
dadelswardfersen_ebauches,dadelswardfersen,poetry,0.0055999817950269865,0.0055999817950269865,0.019716060752002926,0.014743097952161235,0.0,0.001311007926537578,0.001301188266420899,0.008488431374501422,0.007407812128361253,9.819660116679001e-06
dadelswardfersen_feumer,dadelswardfersen,prose,0.003578161066186496,0.003498856152995882,0.012704509231973396,0.009811121990453878,7.930491319061362e-05,0.0007987440128998664,0.0007987440128998664,0.004314308881968744,0.003583265596817694,0.0
dadelswardfersen_heihsiang,dadelswardfersen,poetry,0.006228510194779198,0.006228510194779198,0.02669106601852347,0.021175815527944085,0.0,0.0026032247331217884,0.0017085068491945788,0.008436240107732345,0.007298055490468744,0.0008947178839272098
dadelswardfersen_marsyas,dadelswardfersen,poetry,0.008072564022621223,0.008072564022621223,0.03515172961981214,0.028816511971751814,0.0,0.0003823231525237925,0.0003823231525237925,0.006426301277904091,0.006043978125380298,0.0
dadelswardfersen_messes,dadelswardfersen,prose,0.005988653158755422,0.005955896345338231,0.018870086670640624,0.013903014273064814,3.275681341719077e-05,0.0015869904828850864,0.0015671658860457534,0.009035032436953189,0.0077550305228357725,1.9824596839333078e-05
dadelswardfersen_narcisse,dadelswardfersen,prose,0.00431727378124728,0.004144414233387733,0.01607617910955254,0.012848516547296088,0.00017285954785954788,0.0007618939323213179,0.0007618939323213179,0.005659682343268053,0.005312427854845833,0.0
dadelswardfersen_notredame,dadelswardfersen,prose,0.006061324850451347,0.006061324850451347,0.020076664479237876,0.014892756087346259,0.0,0.0005991707164147956,0.0004921160231240161,0.004308189753187304,0.003907018821660676,0.00010705469329077956
