work_id,author_id,genre,score_direct_lesbian_love,score_direct_love,score_direct_love_and_desire,score_direct_physical_desire,score_direct_sapphism,score_lesbian_love,score_love,score_love_and_desire,score_physical_desire,score_sapphism
cocteau_dansesophocle,cocteau,poetry,0.004127710595504811,0.004127710595504811,0.01660340212666311,0.013614159568107591,0.0,0.00014635173411009438,0.00014635173411009438,0.0025466135885027393,0.0025466135885027393,0.0
cocteau_grandecart,cocteau,prose,0.004910364575840616,0.004910364575840616,0.011177666849572169,0.007050017954143303,0.0,8.418128250070856e-05,8.418128250070856e-05,0.0011749972048255202,0.0010908159223248118,0.0
cocteau_livreblanc,cocteau,prose,0.006590101702941906,0.006392042681353473,0.015265583097674644,0.009636560103880372,0.00019805902158843335,0.0003417536582233567,0.0003417536582233567,0.0025905513843216786,0.0024388888092825426,0.0
cocteau_plainchant,cocteau,poetry,0.00937318077190127,0.00937318077190127,0.018944280944814804,0.01068924254742263,0.0,0.0,0.0,0.00516822778256801,0.00516822778256801,0.0
cocteau_poemes,cocteau,poetry,0.0034434303454240903,0.0033877355528871924,0.008887476696178655,0.0058236169295789,5.5694792536897796e-05,0.00043496790967055045,0.0001409891763801815,0.003360708945920704,0.0032977740277325726,0.00029397873329036893
cocteau_secret,cocteau,prose,0.001657444948461107,0.001657444948461107,0.004361694744282708,0.002704249795821601,0.0,0.00028816573596033825,0.00028816573596033825,0.0004289778181957709,0.0001408120822354326,0.0
cocteau_thomas,cocteau,prose,0.003853100489875801,0.003853100489875801,0.008154846889788271,0.004467490663719689,0.0,0.0,0.0,0.0014226341936932562,0.0014226341936932562,0.0
cocteau_vocabulaire,cocteau,poetry,0.007378578572935215,0.006941478359715599,0.014787663586718413,0.00871769501112859,0.00043710021321961617,0.0013998578936978757,0.0009882876670913594,0.003852634758364447,0.0031921749756796992,0.00041157022660651653
dadelswardfersen_adonis,dadelswardfersen,poetry,0.010506901981799776,0.010506901981799776,0.045904418076121445,0.03705301783601352,0.0,0.0018366989359154286,0.0018366989359154286,0.010394800519707042,0.008909345745655838,0.0
dadelswardfersen_amourenseveli,dadelswardfersen,poetry,0.011447720798777473,0.01136743820404401,0.029999110081371152,0.020680384413314636,8.028259473346178e-05,0.0015155033697287416,0.0012296907123631054,0.00819853249369907,0.0069688417813359655,0.00028581265736563646
dadelswardfersen_corteges,dadelswardfersen,poetry,0.011134690680053969,0.011134690680053969,0.040729255821288016,0.03139004007235072,0.0,0.0018182766860281184,0.0018182766860281184,0.010535613273953087,0.008717336587924968,0.0
dadelswardfersen_ebauches,dadelswardfersen,poetry,0.0055999817950269865,0.0055999817950269865,0.019716060752002926,0.014743097952161235,0.0,0.0005645719088959987,0.0005645719088959987,0.0036675543632896943,0.0031513293993510874,0.0
dadelswardfersen_feumer,dadelswardfersen,prose,0.003578161066186496,0.003498856152995882,0.012704509231973396,0.009811121990453878,7.930491319061362e-05,0.00026074490628365574,0.00026074490628365574,0.0016434588497527586,0.0014140682575909775,0.0
dadelswardfersen_heihsiang,dadelswardfersen,poetry,0.006228510194779198,0.006228510194779198,0.02669106601852347,0.021175815527944085,0.0,0.0018999205350955781,0.001005202651168368,0.004877433621190089,0.0038722309700217213,0.0008947178839272098
dadelswardfersen_marsyas,dadelswardfersen,poetry,0.008072564022621223,0.008072564022621223,0.03515172961981214,0.028816511971751814,0.0,0.0,0.0,0.0023299897914260785,0.0023299897914260785,0.0
dadelswardfersen_messes,dadelswardfersen,prose,0.005988653158755422,0.005955896345338231,0.018870086670640624,0.013903014273064814,3.275681341719077e-05,0.0007980730933792198,0.0007980730933792198,0.005222586768266819,0.0045823750476125325,0.0
dadelswardfersen_narcisse,dadelswardfersen,prose,0.00431727378124728,0.004144414233387733,0.01607617910955254,0.012848516547296088,0.00017285954785954788,0.0006665319571808629,0.0006665319571808629,0.0030074253674776006,0.0027555328541958362,0.0
dadelswardfersen_notredame,dadelswardfersen,prose,0.006061324850451347,0.006061324850451347,0.020076664479237876,0.014892756087346259,0.0,0.0003440972405220072,0.00027771494590805287,0.002101224967409933,0.0018235100215018801,6.638229461395427e-05
