word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
ame,0.03667359152571513,0.009603601197163174,0.027069990328551955,poetry
mer,0.029116410255157918,0.005345688730560105,0.02377072152459781,poetry
ombre,0.029086577107622025,0.006441220720586885,0.02264535638703514,poetry
soir,0.03039794982340239,0.010695302331697975,0.019702647491704414,poetry
mort,0.02822749572465584,0.008872061807758817,0.019355433916897022,poetry
lune,0.02265001358696317,0.003705962170260111,0.018944051416703057,poetry
cœur,0.0305695171442981,0.012301806292205099,0.018267710852093,poetry
fleurs,0.023978209268823724,0.005766404141660713,0.01821180512716301,poetry
nuit,0.028750674902086562,0.010690124764147732,0.01806055013793883,poetry
encor,0.017497591855261882,3.586868301996767e-05,0.017461723172241914,poetry
vent,0.022189938618424148,0.004865893667378498,0.01732404495104565,poetry
doux,0.021165739722977965,0.00453593194379017,0.016629807779187794,poetry
psappha,0.016227240360187543,0.00039804358591980936,0.015829196774267733,poetry
roses,0.020518891277210585,0.004762051152087451,0.015756840125123135,poetry
yeux,0.034722640011385364,0.019017546276924684,0.01570509373446068,poetry
lys,0.016568125319928535,0.0008947716854308817,0.015673353634497653,poetry
automne,0.016577658430549192,0.002131396171353103,0.01444626225919609,poetry
reve,0.018630320699986255,0.00515394310602335,0.013476377593962904,poetry
eau,0.02071021723347725,0.007608048873199665,0.013102168360277586,poetry
ciel,0.01878687473986942,0.005846722388420051,0.01294015235144937,poetry
front,0.017944651127977895,0.005089249345202354,0.012855401782775541,poetry
morts,0.014565556566410896,0.0020355492895608577,0.012530007276850039,poetry
chant,0.014054380953674556,0.0019394070630343982,0.012114973890640158,poetry
soleil,0.018444195324059613,0.006599310663145498,0.011844884660914115,poetry
baiser,0.014827803027280269,0.0035116269544454666,0.011316176072834801,poetry
vierge,0.013262878782117904,0.002229297850229635,0.011033580931888269,poetry
demetrios,0.01095035111286569,0.0,0.01095035111286569,poetry
naake,0.010944558528773598,0.0,0.010944558528773598,poetry
amour,0.03237043227105188,0.021496816796313017,0.010873615474738862,poetry
flots,0.01146930254852123,0.0006717805852423532,0.010797521963278878,poetry
petite,0.0033945150869970696,0.01784121745193024,-0.01444670236493317,prose
faire,0.0028979462723040758,0.016465250243310907,-0.013567303971006832,prose
encore,0.0075853029181254346,0.020998105702854295,-0.01341280278472886,prose
homme,0.004643935005157967,0.016788168114300527,-0.01214423310914256,prose
stephen,0.0,0.011801500534890376,-0.011801500534890376,prose
deux,0.009947502434320831,0.02121398673534849,-0.01126648430102766,prose
minne,0.0,0.011011756094524677,-0.011011756094524677,prose
jeune,0.005038517563994295,0.01597578068466389,-0.010937263120669595,prose
petit,0.00574785926088415,0.01626653053477752,-0.010518671273893368,prose
dire,0.003560951030048162,0.013836439833425761,-0.0102754888033776,prose
oui,0.0041304873152066554,0.014113223823520303,-0.009982736508313647,prose
fois,0.004137484079503708,0.014020297358516348,-0.00988281327901264,prose
assez,0.001286224454475959,0.010623328354423738,-0.009337103899947779,prose
fille,0.0042239664145671384,0.013478053162370595,-0.009254086747803456,prose
madame,0.00037739677381428555,0.00947613358734931,-0.009098736813535024,prose
ans,0.0024879252115241994,0.011229596539658774,-0.008741671328134575,prose
tete,0.0051743130142166615,0.013545920983690847,-0.008371607969474185,prose
mere,0.004236641307793494,0.012590392679689252,-0.008353751371895757,prose
mme,0.0,0.008292851228401526,-0.008292851228401526,prose
antoine,0.0,0.008168893442009323,-0.008168893442009323,prose
mari,0.00023224268809767152,0.008346330683989699,-0.008114087995892028,prose
alors,0.004608054751709209,0.012658565977334627,-0.008050511225625417,prose
mary,0.0,0.007906289368259942,-0.007906289368259942,prose
presque,0.002735027144872989,0.010347688561550524,-0.007612661416677534,prose
chambre,0.003009005045603426,0.010420447858887218,-0.007411442813283792,prose
femme,0.01152564324706508,0.018715759513051173,-0.007190116265986092,prose
vie,0.011434835109431874,0.01857696363155185,-0.007142128522119977,prose
pere,0.003110438898830491,0.010068565239839188,-0.006958126341008697,prose
lettre,0.0003366249917445497,0.007225588385330991,-0.006888963393586441,prose
beaucoup,0.0015160511684634856,0.008354963866386001,-0.006838912697922516,prose
