genre,sentiment_label,n_chunks,share
poetry,1 star,19,0.021229050279329607
poetry,2 stars,6,0.0067039106145251395
poetry,3 stars,5,0.00558659217877095
poetry,5 stars,865,0.9664804469273743
prose,1 star,1259,0.18969413891818593
prose,2 stars,895,0.134850082868766
prose,3 stars,293,0.04414645171010999
prose,4 stars,428,0.06448696700316409
prose,5 stars,3762,0.566822359499774
