topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
174,5,1,0.004095004095004095,6.84603272403642e-05,59.81572481572482
301,4,1,0.003276003276003276,6.84603272403642e-05,47.85257985257986
115,20,5,0.01638001638001638,0.00034230163620182103,47.85257985257986
66,43,11,0.03521703521703522,0.0007530635996440063,46.76502121956667
172,20,6,0.01638001638001638,0.00041076196344218524,39.87714987714988
127,23,8,0.018837018837018837,0.0005476826179229136,34.39404176904177
309,10,5,0.00819000819000819,0.00034230163620182103,23.92628992628993
23,36,20,0.029484029484029485,0.0013692065448072841,21.533660933660936
289,7,4,0.005733005733005733,0.0002738413089614568,20.935503685503686
170,19,11,0.015561015561015561,0.0007530635996440063,20.66361402725039
220,12,7,0.009828009828009828,0.00047922229068254944,20.50824850824851
64,29,17,0.02375102375102375,0.0011638255630861914,20.407717878306116
364,10,6,0.00819000819000819,0.00041076196344218524,19.93857493857494
363,5,3,0.004095004095004095,0.00020538098172109262,19.93857493857494
278,8,5,0.006552006552006552,0.00034230163620182103,19.141031941031944
221,11,7,0.009009009009009009,0.00047922229068254944,18.7992277992278
347,9,6,0.007371007371007371,0.00041076196344218524,17.944717444717448
294,6,4,0.004914004914004914,0.0002738413089614568,17.944717444717444
299,10,7,0.00819000819000819,0.00047922229068254944,17.09020709020709
165,11,8,0.009009009009009009,0.0005476826179229136,16.449324324324326
321,4,3,0.003276003276003276,0.00020538098172109262,15.950859950859952
313,5,4,0.004095004095004095,0.0002738413089614568,14.953931203931205
102,26,21,0.021294021294021293,0.0014376668720476485,14.81151281151281
143,10,9,0.00819000819000819,0.0006161429451632779,13.292383292383292
232,12,11,0.009828009828009828,0.0007530635996440063,13.05070359615814
49,40,39,0.03276003276003276,0.0026699527623742043,12.269892269892269
359,5,5,0.004095004095004095,0.00034230163620182103,11.963144963144964
202,9,9,0.007371007371007371,0.0006161429451632779,11.963144963144963
59,25,27,0.020475020475020474,0.0018484288354898336,11.076986076986076
282,7,8,0.005733005733005733,0.0005476826179229136,10.467751842751843
181,6,7,0.004914004914004914,0.00047922229068254944,10.254124254124255
330,5,6,0.004095004095004095,0.00041076196344218524,9.96928746928747
96,9,11,0.007371007371007371,0.0007530635996440063,9.788027697118606
6,30,37,0.02457002457002457,0.0025330321078934756,9.699847267414835
308,7,9,0.005733005733005733,0.0006161429451632779,9.304668304668304
365,4,6,0.003276003276003276,0.00041076196344218524,7.975429975429976
130,9,14,0.007371007371007371,0.0009584445813650989,7.690593190593191
76,7,11,0.005733005733005733,0.0007530635996440063,7.612910431092248
209,7,11,0.005733005733005733,0.0007530635996440063,7.612910431092248
116,5,8,0.004095004095004095,0.0005476826179229136,7.476965601965603
37,16,26,0.013104013104013105,0.0017799685082494695,7.3619353619353625
114,7,13,0.005733005733005733,0.0008899842541247347,6.441693441693441
69,8,15,0.006552006552006552,0.0010269049086054631,6.380343980343981
164,4,8,0.003276003276003276,0.0005476826179229136,5.981572481572482
57,9,18,0.007371007371007371,0.0012322858903265558,5.981572481572481
32,15,32,0.012285012285012284,0.0021907304716916546,5.607724201474201
5,31,71,0.025389025389025387,0.004860683234065859,5.223344983908364
265,3,7,0.002457002457002457,0.00047922229068254944,5.1270621270621275
361,2,5,0.001638001638001638,0.00034230163620182103,4.785257985257986
60,7,19,0.005733005733005733,0.00130074621756692,4.407474460106039
33,9,26,0.007371007371007371,0.0017799685082494695,4.141088641088641
345,2,6,0.001638001638001638,0.00041076196344218524,3.987714987714988
279,2,6,0.001638001638001638,0.00041076196344218524,3.987714987714988
292,3,9,0.002457002457002457,0.0006161429451632779,3.9877149877149876
219,3,9,0.002457002457002457,0.0006161429451632779,3.9877149877149876
55,11,34,0.009009009009009009,0.002327651126172383,3.8704292527821944
183,3,10,0.002457002457002457,0.0006846032724036421,3.588943488943489
184,5,17,0.004095004095004095,0.0011638255630861914,3.518572047983813
241,2,7,0.001638001638001638,0.00047922229068254944,3.4180414180414185
216,2,7,0.001638001638001638,0.00047922229068254944,3.4180414180414185
300,3,11,0.002457002457002457,0.0007530635996440063,3.262675899039535
99,4,15,0.003276003276003276,0.0010269049086054631,3.1901719901719905
113,5,20,0.004095004095004095,0.0013692065448072841,2.990786240786241
167,4,16,0.003276003276003276,0.0010953652358458273,2.990786240786241
94,1,4,0.000819000819000819,0.0002738413089614568,2.990786240786241
98,4,16,0.003276003276003276,0.0010953652358458273,2.990786240786241
238,1,4,0.000819000819000819,0.0002738413089614568,2.990786240786241
93,6,24,0.004914004914004914,0.001643047853768741,2.9907862407862407
263,3,12,0.002457002457002457,0.0008215239268843705,2.9907862407862407
151,3,12,0.002457002457002457,0.0008215239268843705,2.9907862407862407
28,7,31,0.005733005733005733,0.0021222701444512907,2.7013553142585396
259,2,9,0.001638001638001638,0.0006161429451632779,2.6584766584766584
305,2,9,0.001638001638001638,0.0006161429451632779,2.6584766584766584
34,6,28,0.004914004914004914,0.0019168891627301978,2.5635310635310637
349,2,10,0.001638001638001638,0.0006846032724036421,2.392628992628993
240,1,5,0.000819000819000819,0.00034230163620182103,2.392628992628993
89,3,15,0.002457002457002457,0.0010269049086054631,2.3926289926289925
122,3,16,0.002457002457002457,0.0010953652358458273,2.2430896805896805
128,5,28,0.004095004095004095,0.0019168891627301978,2.1362758862758864
205,3,17,0.002457002457002457,0.0011638255630861914,2.111143228790288
104,6,35,0.004914004914004914,0.0023961114534127473,2.050824850824851
176,1,6,0.000819000819000819,0.00041076196344218524,1.993857493857494
271,1,6,0.000819000819000819,0.00041076196344218524,1.993857493857494
150,2,12,0.001638001638001638,0.0008215239268843705,1.993857493857494
133,4,24,0.003276003276003276,0.001643047853768741,1.993857493857494
242,2,12,0.001638001638001638,0.0008215239268843705,1.993857493857494
95,5,31,0.004095004095004095,0.0021222701444512907,1.9295395101846713
161,3,19,0.002457002457002457,0.00130074621756692,1.8889176257597309
56,5,32,0.004095004095004095,0.0021907304716916546,1.8692414004914006
155,2,13,0.001638001638001638,0.0008899842541247347,1.8404838404838406
303,2,13,0.001638001638001638,0.0008899842541247347,1.8404838404838406
353,1,7,0.000819000819000819,0.00047922229068254944,1.7090207090207092
229,1,7,0.000819000819000819,0.00047922229068254944,1.7090207090207092
298,1,7,0.000819000819000819,0.00047922229068254944,1.7090207090207092
280,1,7,0.000819000819000819,0.00047922229068254944,1.7090207090207092
40,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
293,1,7,0.000819000819000819,0.00047922229068254944,1.7090207090207092
112,3,21,0.002457002457002457,0.0014376668720476485,1.7090207090207088
53,3,21,0.002457002457002457,0.0014376668720476485,1.7090207090207088
129,3,21,0.002457002457002457,0.0014376668720476485,1.7090207090207088
75,4,29,0.003276003276003276,0.001985349489970562,1.6500889604337883
244,2,15,0.001638001638001638,0.0010269049086054631,1.5950859950859952
312,1,8,0.000819000819000819,0.0005476826179229136,1.4953931203931206
287,1,8,0.000819000819000819,0.0005476826179229136,1.4953931203931206
362,1,8,0.000819000819000819,0.0005476826179229136,1.4953931203931206
149,2,16,0.001638001638001638,0.0010953652358458273,1.4953931203931206
